Total Number of Aligned Reads:	116744	Total Number of Mapped Genomes:	4827
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|402626	0.000137055694255	8.56575070239e-05	10.0	8.56575070239e-05	0.0	5.42912493453e-05	3.62684761883e-05	4.23412698413	2.56972521072e-05	5.13945042143e-05
ti|399739	0.00013420523472	8.56575070239e-05	10.0	8.56575070239e-05	0.0	0.000142115440819	8.8317187338e-05	10.3105017186	5.13945042143e-05	0.000256972521072
ti|234621	0.000127040696767	0.000154183512643	18.0	0.000154183512643	0.0	6.12775777287e-05	6.88568342276e-05	8.03862225507	5.99602549167e-05	0.000522510792846
ti|1234679	0.000122935121156	9.42232577263e-05	11.0	8.56575070239e-05	8.56575070239e-06	0.000606957546232	0.000393124263603	45.8948990301	0.0	0.00152470362503
ti|34062	0.000112140591698	7.70917563215e-05	9.0	7.70917563215e-05	0.0	0.000169180450711	0.000111129679105	12.9737232574	6.85260056191e-05	0.00017988076475
ti|1736496	0.000111373415742	0.000205578016857	24.0	0.000205578016857	0.0	0.000108067810151	0.000185591265218	21.6666666667	0.000162749263345	5.13945042143e-05
ti|85698	0.0001091284149	0.000197012266155	23.0	0.000197012266155	0.0	1.97408585514e-05	9.06138312098e-05	10.5786211108	8.56575070239e-05	5.13945042143e-05
ti|1736447	0.000109017208733	7.70917563215e-05	9.0	7.70917563215e-05	0.0	2.21347559797e-05	9.89140259681e-06	1.15476190476	0.0	5.99602549167e-05
ti|522373	9.34960118695e-05	0.000505379291441	59.0	0.000505379291441	0.0	5.36670439039e-05	0.000375523140627	43.8400735294	0.000368327280203	3.42630028096e-05
ti|1194526	8.66509460748e-05	3.42630028096e-05	4.0	3.42630028096e-05	0.0	9.43695774417e-05	3.64861224335e-05	4.25953587738	2.56972521072e-05	0.000154183512643
ti|883163	7.90673543771e-05	9.42232577263e-05	11.0	9.42232577263e-05	0.0	1.00559645741e-05	4.36928423986e-05	5.10087719298	4.2828753512e-05	2.56972521072e-05
ti|1736520	7.83127224978e-05	5.13945042143e-05	6.0	5.13945042143e-05	0.0	1.68030036069e-05	1.45617761941e-05	1.7	0.0	4.2828753512e-05
ti|1265504	7.3735651493e-05	0.000274104022477	32.0	0.000274104022477	0.0	7.42038382189e-05	0.000274104022477	32.0	0.000274104022477	0.0
ti|198467	7.09093924901e-05	0.000102789008429	12.0	0.000102789008429	0.0	5.92615929318e-05	4.73753311158e-05	5.53078565579	3.42630028096e-05	6.85260056191e-05
ti|494420	7.02753647115e-05	5.13945042143e-05	6.0	5.13945042143e-05	0.0	6.67063353652e-06	3.11875088702e-06	0.364095453555	0.0	5.13945042143e-05
ti|264199	6.71201993645e-05	5.13945042143e-05	6.0	5.13945042143e-05	0.0	3.15017784644e-05	1.8809800079e-05	2.19593130042	0.0	0.000222709518262
ti|1267562	6.52339993409e-05	5.99602549167e-05	7.0	5.99602549167e-05	0.0	4.00078971027e-05	3.94774173298e-05	4.60875160875	3.42630028096e-05	4.2828753512e-05
ti|1122244	6.48713872168e-05	0.000137052011238	16.0	0.000137052011238	0.0	0.000159742238824	0.000210414732788	24.5646575647	0.000145617761941	0.000274104022477
ti|1035197	6.18222537109e-05	4.2828753512e-05	5.0	4.2828753512e-05	0.0	6.18217188135e-05	4.2828753512e-05	5.0	4.2828753512e-05	0.0
ti|883126	5.7998955649e-05	3.42630028096e-05	4.0	3.42630028096e-05	0.0	1.72682225049e-05	8.49776855396e-06	0.992063492063	0.0	3.42630028096e-05
